airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
AUH,AUH,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,24.432972,54.651138,AED,0.2584,3.8722
AZI,AZI,Bateen,Abu Dhabi,United Arab Emirates,24.428333,54.458084,AED,0.2584,3.8722
DXB,DXB,Dubai Intl,Dubai,United Arab Emirates,25.252778,55.364444,AED,0.2584,3.8722
FJR,FJR,Fujairah Intl,Fujeirah,United Arab Emirates,25.112225,56.323964,AED,0.2584,3.8722
RKT,RKT,Ras Al Khaimah Intl,Ras Al Khaimah,United Arab Emirates,25.613483,55.938817,AED,0.2584,3.8722
SHJ,SHJ,Sharjah Intl,Sharjah,United Arab Emirates,25.328575,55.51715,AED,0.2584,3.8722
AAN,AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.261667,55.609167,AED,0.2584,3.8722
NHD,NHD,Minhad HB,Minhad AB,United Arab Emirates,25.02694,55.36611,AED,0.2584,3.8722
DWC,DWC,Dubai Al Maktoum,Dubai,United Arab Emirates,24.55056,55.103174,AED,0.2584,3.8722
XSB,XSB,Sir Bani Yas Island,Sir Bani Yas Island,United Arab Emirates,24.2856083,52.5783472,AED,0.2584,3.8722
ZDY,ZDY,Dalma Airport,Dalma Island,United Arab Emirates,24.5033833,52.3360528,AED,0.2584,3.8722
HEA,HEA,Herat,Herat,Afghanistan,34.210017,62.2283,AFN,0.01644,61.0517
JAA,JAA,Jalalabad,Jalalabad,Afghanistan,34.399842,70.498625,AFN,0.01644,61.0517
KBL,KBL,Kabul Intl,Kabul,Afghanistan,34.565853,69.212328,AFN,0.01644,61.0517
KDH,KDH,Kandahar,Kandahar,Afghanistan,31.505756,65.847822,AFN,0.01644,61.0517
MMZ,MMZ,Maimana,Maimama,Afghanistan,35.930789,64.760917,AFN,0.01644,61.0517
MZR,MZR,Mazar I Sharif,Mazar-i-sharif,Afghanistan,36.706914,67.209678,AFN,0.01644,61.0517
UND,UND,Konduz,Kunduz,Afghanistan,36.665111,68.910833,AFN,0.01644,61.0517
FBD,FBD,Faizabad Airport,Faizabad,Afghanistan,37.1211,70.5181,AFN,0.01644,61.0517
BPM,BPM,Bagram AFB,Kabul,Afghanistan,34.5646,69.1554,AFN,0.01644,61.0517
TII,TII,Tarin Kowt Airport,Tarin Kowt,Afghanistan,32.605278,65.864167,AFN,0.01644,61.0517
ZAJ,ZAJ,Zaranj Airport,Zaranj,Afghanistan,30.969167,61.866944,AFN,0.01644,61.0517
CCN,CCN,Chaghcharan Airport,Chaghcharan,Afghanistan,34.526667,65.271667,AFN,0.01644,61.0517
KHT,KHT,FOB Salerno,Khost,Afghanistan,33.3334,69.952,AFN,0.01644,61.0517
AZ3,AZ3,Sharona,Sharona,Afghanistan,33.1277215,68.8369847,AFN,0.01644,61.0517
BST,BST,Bost Airport,Lashkar Gah,Afghanistan,31.558889,64.364167,AFN,0.01644,61.0517
BIN,BIN,Bamyan Airport,Bamyan,Afghanistan,34.816667,67.816667,AFN,0.01644,61.0517
