airportName,city,country,airportCode,lat,long,currency,currencyCode,toEuro,fromEuro
Reina Beatrix Intl,Oranjestad,Aruba,AUA,12.501389,-70.015221,Aruban Florin,AWG,0.5331,1.8973
Sharona,Sharona,Afghanistan,AZ3,33.1277215,68.8369847,Afghanistan Afghani,AFN,0.01644,61.0517
Bamyan Airport,Bamyan,Afghanistan,BIN,34.816667,67.816667,Afghanistan Afghani,AFN,0.01644,61.0517
Bagram AFB,Kabul,Afghanistan,BPM,34.5646,69.1554,Afghanistan Afghani,AFN,0.01644,61.0517
Bost Airport,Lashkar Gah,Afghanistan,BST,31.558889,64.364167,Afghanistan Afghani,AFN,0.01644,61.0517
Chaghcharan Airport,Chaghcharan,Afghanistan,CCN,34.526667,65.271667,Afghanistan Afghani,AFN,0.01644,61.0517
Faizabad Airport,Faizabad,Afghanistan,FBD,37.1211,70.5181,Afghanistan Afghani,AFN,0.01644,61.0517
Herat,Herat,Afghanistan,HEA,34.210017,62.2283,Afghanistan Afghani,AFN,0.01644,61.0517
Jalalabad,Jalalabad,Afghanistan,JAA,34.399842,70.498625,Afghanistan Afghani,AFN,0.01644,61.0517
Kabul Intl,Kabul,Afghanistan,KBL,34.565853,69.212328,Afghanistan Afghani,AFN,0.01644,61.0517
Kandahar,Kandahar,Afghanistan,KDH,31.505756,65.847822,Afghanistan Afghani,AFN,0.01644,61.0517
FOB Salerno,Khost,Afghanistan,KHT,33.3334,69.952,Afghanistan Afghani,AFN,0.01644,61.0517
Maimana,Maimama,Afghanistan,MMZ,35.930789,64.760917,Afghanistan Afghani,AFN,0.01644,61.0517
Mazar I Sharif,Mazar-i-sharif,Afghanistan,MZR,36.706914,67.209678,Afghanistan Afghani,AFN,0.01644,61.0517
Benguela,Benguela,Angola,BUG,-12.609025,13.403711,Angolan Kwanza,AOA,0.008944,112.947
Cabinda,Cabinda,Angola,CAB,-5.596992,12.188353,Angolan Kwanza,AOA,0.008944,112.947
Catumbela Airport,Catumbela,Angola,CBT,-12.4792,13.4869,Angolan Kwanza,AOA,0.008944,112.947
Dundo Airport,Dundo,Angola,DUE,-7.40089,20.8185,Angolan Kwanza,AOA,0.008944,112.947
Negage,Negage,Angola,GXG,-7.754506,15.287728,Angolan Kwanza,AOA,0.008944,112.947
Kapanda Airport,Kapanda,Angola,KNP,-9.771944,15.456111,Angolan Kwanza,AOA,0.008944,112.947
Luanda 4 De Fevereiro,Luanda,Angola,LAD,-8.858375,13.231178,Angolan Kwanza,AOA,0.008944,112.947
Lucapa Airport,Lucapa,Angola,LBZ,-8.443056,20.732222,Angolan Kwanza,AOA,0.008944,112.947
Luena,Luena,Angola,LUO,-11.768086,19.897672,Angolan Kwanza,AOA,0.008944,112.947
Malanje,Malanje,Angola,MEG,-9.525086,16.312406,Angolan Kwanza,AOA,0.008944,112.947
Namibe Airport,Mocamedes,Angola,MSZ,-15.261222,12.146756,Angolan Kwanza,AOA,0.008944,112.947
Huambo,Huambo,Angola,NOV,-12.808878,15.760547,Angolan Kwanza,AOA,0.008944,112.947
Porto Amboim,Porto Amboim,Angola,PBN,-10.721956,13.765528,Angolan Kwanza,AOA,0.008944,112.947
Wallblake,The Valley,Anguilla,AXA,18.204834,-63.055084,East Caribbean Dollar,XCD,0.353,2.8638
Al Ain International Airport,Al Ain,United Arab Emirates,AAN,24.261667,55.609167,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,AUH,24.432972,54.651138,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Bateen,Abu Dhabi,United Arab Emirates,AZI,24.428333,54.458084,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Dubai Al Maktoum,Dubai,United Arab Emirates,DWC,24.55056,55.103174,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Dubai Intl,Dubai,United Arab Emirates,DXB,25.252778,55.364444,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Fujairah Intl,Fujeirah,United Arab Emirates,FJR,25.112225,56.323964,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Minhad HB,Minhad AB,United Arab Emirates,NHD,25.02694,55.36611,Utd. Arab Emir. Dirham,AED,0.2584,3.8722
Aeroparque Jorge Newbery,Buenos Aires,Argentina,AEP,-34.559175,-58.415606,Argentine Peso,ARS,0.1081,9.2657
San Rafael,San Rafael,Argentina,AFA,-34.588314,-68.403854,Argentine Peso,ARS,0.1081,9.2657
Paso De Los Libres,Paso De Los Libres,Argentina,AOL,-29.689425,-57.152078,Argentine Peso,ARS,0.1081,9.2657
ZAPALA,ZAPALA,Argentina,APZ,-38.9755,-70.113581,Argentine Peso,ARS,0.1081,9.2657
Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,ARR,-45.016667,-70.816667,Argentine Peso,ARS,0.1081,9.2657
Comandante Espora,Bahia Blanca,Argentina,BHI,-38.724967,-62.169317,Argentine Peso,ARS,0.1081,9.2657
San Carlos De Bariloche,San Carlos De Bariloche,Argentina,BRC,-41.151172,-71.157542,Argentine Peso,ARS,0.1081,9.2657
