airportName,city,country,airportCode,lat,long
Herat,Herat,Afghanistan,HEA,34.210017,62.2283
Jalalabad,Jalalabad,Afghanistan,JAA,34.399842,70.498625
Kabul Intl,Kabul,Afghanistan,KBL,34.565853,69.212328
Kandahar,Kandahar,Afghanistan,KDH,31.505756,65.847822
Maimana,Maimama,Afghanistan,MMZ,35.930789,64.760917
Mazar I Sharif,Mazar-i-sharif,Afghanistan,MZR,36.706914,67.209678
Konduz,Kunduz,Afghanistan,UND,36.665111,68.910833
Faizabad Airport,Faizabad,Afghanistan,FBD,37.1211,70.5181
Bagram AFB,Kabul,Afghanistan,BPM,34.5646,69.1554
Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,32.605278,65.864167
Zaranj Airport,Zaranj,Afghanistan,ZAJ,30.969167,61.866944
Chaghcharan Airport,Chaghcharan,Afghanistan,CCN,34.526667,65.271667
FOB Salerno,Khost,Afghanistan,KHT,33.3334,69.952
Sharona,Sharona,Afghanistan,AZ3,33.1277215,68.8369847
Bost Airport,Lashkar Gah,Afghanistan,BST,31.558889,64.364167
Bamyan Airport,Bamyan,Afghanistan,BIN,34.816667,67.816667
Tirana Rinas,Tirana,Albania,TIA,41.414742,19.720561
Soummam,Bejaja,Algeria,BJA,36.711997,5.069922
Houari Boumediene,Algier,Algeria,ALG,36.691014,3.215408
Tiska,Djanet,Algeria,DJG,24.292767,9.452444
Boufarik,Boufarik,Algeria,QFD,36.545834,2.876111
Illizi Takhamalt,Illizi,Algeria,VVZ,26.723536,8.622653
Tamanrasset,Tamanrasset,Algeria,TMR,22.811461,5.451075
Jijel,Jijel,Algeria,GJL,36.795136,5.873608
Annaba,Annaba,Algeria,AAE,36.822225,7.809167
Mohamed Boudiaf Intl,Constantine,Algeria,CZL,36.276028,6.620386
Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,35.431611,8.120717
Hassi R Mel,Tilrempt,Algeria,HRM,32.930431,3.311542
Bou Chekif,Tiaret,Algeria,TID,35.341136,1.463147
Tindouf,Tindouf,Algeria,TIN,27.700372,-8.167103
Ech Cheliff,Ech-cheliff,Algeria,QAS,36.212658,1.331775
Tafaraoui,Oran,Algeria,TAF,35.542444,-0.532278
