,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
0,AUH,AUH,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates,24.432972,54.651138,AED,0.2584,3.8722
1,AZI,AZI,Bateen,Abu Dhabi,United Arab Emirates,24.428333,54.458084,AED,0.2584,3.8722
2,DXB,DXB,Dubai Intl,Dubai,United Arab Emirates,25.252778,55.36444399999999,AED,0.2584,3.8722
3,FJR,FJR,Fujairah Intl,Fujeirah,United Arab Emirates,25.112225,56.323964000000004,AED,0.2584,3.8722
4,RKT,RKT,Ras Al Khaimah Intl,Ras Al Khaimah,United Arab Emirates,25.613483,55.93881700000001,AED,0.2584,3.8722
5,SHJ,SHJ,Sharjah Intl,Sharjah,United Arab Emirates,25.328575,55.51715,AED,0.2584,3.8722
6,AAN,AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.261667000000003,55.60916700000001,AED,0.2584,3.8722
7,NHD,NHD,Minhad HB,Minhad AB,United Arab Emirates,25.02694,55.36611,AED,0.2584,3.8722
8,DWC,DWC,Dubai Al Maktoum,Dubai,United Arab Emirates,24.55056,55.103173999999996,AED,0.2584,3.8722
9,XSB,XSB,Sir Bani Yas Island,Sir Bani Yas Island,United Arab Emirates,24.2856083,52.5783472,AED,0.2584,3.8722
10,ZDY,ZDY,Dalma Airport,Dalma Island,United Arab Emirates,24.503383300000003,52.3360528,AED,0.2584,3.8722
11,HEA,HEA,Herat,Herat,Afghanistan,34.210017,62.2283,AFN,0.01644,61.0517
12,JAA,JAA,Jalalabad,Jalalabad,Afghanistan,34.399842,70.498625,AFN,0.01644,61.0517
13,KBL,KBL,Kabul Intl,Kabul,Afghanistan,34.565853000000004,69.212328,AFN,0.01644,61.0517
14,KDH,KDH,Kandahar,Kandahar,Afghanistan,31.505755999999998,65.847822,AFN,0.01644,61.0517
15,MMZ,MMZ,Maimana,Maimama,Afghanistan,35.930789000000004,64.760917,AFN,0.01644,61.0517
16,MZR,MZR,Mazar I Sharif,Mazar-i-sharif,Afghanistan,36.706914000000005,67.209678,AFN,0.01644,61.0517
17,UND,UND,Konduz,Kunduz,Afghanistan,36.665110999999996,68.910833,AFN,0.01644,61.0517
18,FBD,FBD,Faizabad Airport,Faizabad,Afghanistan,37.1211,70.5181,AFN,0.01644,61.0517
19,BPM,BPM,Bagram AFB,Kabul,Afghanistan,34.5646,69.1554,AFN,0.01644,61.0517
20,TII,TII,Tarin Kowt Airport,Tarin Kowt,Afghanistan,32.605278000000006,65.86416700000001,AFN,0.01644,61.0517
21,ZAJ,ZAJ,Zaranj Airport,Zaranj,Afghanistan,30.969167,61.866944,AFN,0.01644,61.0517
22,CCN,CCN,Chaghcharan Airport,Chaghcharan,Afghanistan,34.526666999999996,65.27166700000001,AFN,0.01644,61.0517
23,KHT,KHT,FOB Salerno,Khost,Afghanistan,33.3334,69.952,AFN,0.01644,61.0517
24,AZ3,AZ3,Sharona,Sharona,Afghanistan,33.1277215,68.8369847,AFN,0.01644,61.0517
25,BST,BST,Bost Airport,Lashkar Gah,Afghanistan,31.558889,64.36416700000001,AFN,0.01644,61.0517
26,BIN,BIN,Bamyan Airport,Bamyan,Afghanistan,34.816666999999995,67.81666700000001,AFN,0.01644,61.0517
27,TIA,TIA,Tirana Rinas,Tirana,Albania,41.414742,19.720561,ALL,0.007237,143.208
