name,name_fr,FIFA,IOC,currency_alphabetic_code,currency_country_name,currency_name
Afghanistan,Afghanistan,AFG,AFG,AFN,AFGHANISTAN,Afghani
Albania,Albanie,ALB,ALB,ALL,ALBANIA,Lek
Algeria,Algérie,ALG,ALG,DZD,ALGERIA,Algerian Dinar
American Samoa,Samoa Américaines,ASA,ASA,USD,AMERICAN SAMOA,US Dollar
Andorra,Andorre,AND,AND,EUR,ANDORRA,Euro
Angola,Angola,ANG,ANG,AOA,ANGOLA,Kwanza
Anguilla,Anguilla,AIA,AIA,XCD,ANGUILLA,East Caribbean Dollar
Antarctica,Antarctique,ROS, ,,ANTARCTICA,No universal currency
Antigua and Barbuda,Antigua-Et-Barbuda,ATG,ANT,XCD,ANTIGUA AND BARBUDA,East Caribbean Dollar
Argentina,Argentine,ARG,ARG,ARS,ARGENTINA,Argentine Peso
Armenia,Arménie,ARM,ARM,AMD,ARMENIA,Armenian Dram
Aruba,Aruba,ARU,ARU,AWG,ARUBA,Aruban Florin
Australia,Australie,AUS,AUS,AUD,AUSTRALIA,Australian Dollar
Austria,Autriche,AUT,AUT,EUR,AUSTRIA,Euro
Azerbaijan,Azerbaïdjan,AZE,AZE,AZN,AZERBAIJAN,Azerbaijanian Manat
Bahamas,Bahamas,BAH,BAH,BSD,BAHAMAS,Bahamian Dollar
Bahrain,Bahreïn,BHR,BRN,BHD,BAHRAIN,Bahraini Dinar
Bangladesh,Bangladesh,BAN,BAN,BDT,BANGLADESH,Taka
Barbados,Barbade,BRB,BAR,BBD,BARBADOS,Barbados Dollar
Belarus,Bélarus,BLR,BLR,BYR,BELARUS,Belarussian Ruble
Belgium,Belgique,BEL,BEL,EUR,BELGIUM,Euro
Belize,Belize,BLZ,BIZ,BZD,BELIZE,Belize Dollar
Benin,Bénin,BEN,BEN,XOF,BENIN,CFA Franc BCEAO
Bermuda,Bermudes,BER,BER,BMD,BERMUDA,Bermudian Dollar
Bhutan,Bhoutan,BHU,BHU,INR,BHUTAN,Indian Rupee
